Name,Alias,Nuttin
15452400,Impairment amortisation. - L-IT  (Non-PFI),
15452500,Disposal amortisation. - L-IT  (Non-PFI),
15452600,Revaluation amortisation - L-IT  (Non-PFI),
15452700,Transfers amortisation. - L-IT  (Non-PFI),
15452800,Reclassification amortisation. - L-IT  (Non-PFI),
15460000,Leased Plant & Machinery (L -P&M)  (Non-PFI),
15461000,Gross BV - L-P&M  (Non-PFI),
15461100,Gross BV BF - L-P&M  (Non-PFI),
15461200,Additions - L-P&M  (Non-PFI),
15461300,Impairment Reversal - L-P&M  (Non-PFI),
15461400,Impairment losses - L-P&M  (Non-PFI),
15461500,Disposals GBV - L-P&M  (Non-PFI),
15461600,Revaluations - L-P&M  (Non-PFI),
15461700,Transfers - L-P&M  (Non-PFI),
15461800,Reclassification - L-P&M  (Non-PFI),
15462000,amortisation - L-P&M  (Non-PFI),
15462100,Accum. amortisation. BF- L-P&M  (Non-PFI),
15462200,Current amortisation. - L-P&M  (Non-PFI),
15462300,Impairment Reversal amortisation. - L-P&M  (Non-PFI),
15462400,Impairment amortisation. - L-P&M  (Non-PFI),
15462500,Disposal amortisation. - L-P&M  (Non-PFI),
15462600,Revaluation amortisation - L-P&M  (Non-PFI),
15462700,Transfers amortisation. - L-P&M  (Non-PFI),
15462800,Reclassification amortisation. - L-P&M  (Non-PFI),
15470000,Leased Furniture & Fittings (L-F&F)  (Non-PFI),
15471000,Gross BV - L -F&F  (Non-PFI),
15471100,Gross BV BF - L -F&F  (Non-PFI),
15471200,Additions - L -F&F  (Non-PFI),
15471300,Impairment Reversal - L -F&F  (Non-PFI),
15471400,Impairment losses - L -F&F  (Non-PFI),
15471500,Disposals GBV - L -F&F  (Non-PFI),
15471600,Revaluations - L -F&F  (Non-PFI),
15471700,Transfers - L -F&F  (Non-PFI),
15471800,Reclassification - L -F&F  (Non-PFI),
15472000,amortisation - L -F&F  (Non-PFI),
15472100,Accum. amortisation. BF- L -F&F  (Non-PFI),
15472200,Current amortisation. - L -F&F  (Non-PFI),
15472300,Impairment Reversal amortisation. - L -F&F  (Non-PFI),
15472400,Impairment amortisation. - L -F&F  (Non-PFI),
15472500,Disposal amortisation. - L -F&F  (Non-PFI),
15472600,Revaluation amortisation - L -F&F  (Non-PFI),
15472700,Transfers amortisation. - L -F&F  (Non-PFI),
15472800,Reclassification amortisation. - L -F&F  (Non-PFI),
15480000,Leased Transport Equipment (L -TE)  (Non-PFI),
15481000,Gross BV - L -TE  (Non-PFI),
15481100,Gross BV BF - L -TE  (Non-PFI),
15481200,Additions - L -TE  (Non-PFI),
15481300,Impairment Reversal - L -TE  (Non-PFI),
15481400,Impairment losses - L -TE  (Non-PFI),
15481500,Disposals GBV - L -TE  (Non-PFI),
15481600,Revaluations - L -TE  (Non-PFI),
15481700,Transfers - L -TE  (Non-PFI),
15481800,Reclassification - L -TE  (Non-PFI),
15482000,amortisation - L -TE  (Non-PFI),
15482100,Accum. amortisation. BF- L -TE  (Non-PFI),
15482200,Current amortisation. - L -TE  (Non-PFI),
15482300,Impairment Reversal amortisation. - L -TE  (Non-PFI),
15482400,Impairment amortisation. - L -TE  (Non-PFI),
15482500,Disposal amortisation. - L -TE  (Non-PFI),
15482600,Revaluation amortisation - L -TE  (Non-PFI),
15482700,Transfers amortisation. - L -TE  (Non-PFI),
15482800,Reclassification amortisation. - L -TE  (Non-PFI),
15490000,Leased Payments on Account & Assets under Construction (L-PoA & AuC)  (Non-PFI),
15491000,Net Book Value BF -L- PoA & AuC  (Non-PFI),
15492000,Additions -L- PoA & AuC  (Non-PFI),
15492100,New dwellings and improvements to existing dwellings  (Non-PFI),
15492200,Other new and existing construction & improvements to land   (Non-PFI),
15492300,Construction of plant machinery and equipment (Non - PFI),
15493000,Revaluations -L- PoA & AuC  (Non-PFI),
15494000,Reclassifications -L- PoA & AuC  (Non-PFI),
15495000,Transfers -L- PoA & AuC  (Non-PFI),
15496000,Write offs -L- PoA & AuC  (Non-PFI),
17000000,NON CURRENT FINANCIAL ASSETS,
17090000,Loans,
17093000,Other Loans,
17093100,Loans - Private sector companies (PSC),
17093120,Opening balance - Private sector companies (PSC),
17093130,Additions - Private sector companies (PSC),
17093140,Repaid - Private sector companies (PSC),
17093145,Impairments - Loans to bodies outside WGA boundary,x
17093150,Revaluations - Private sector companies (PSC),
17093160,Write offs - Private sector companies (PSC),
17093300,Loans - Overseas,
17093320,Opening balance - Overseas,
17093330,Additions - Overseas,
17093340,Repaid - Overseas,
17093350,Revaluations - Overseas,
17093360,Write offs - Overseas,
17099000,Student Loans,
17099100,Opening balance - Student Loans,
17099200,Additions - Student Loans,
17099210,Capital lent - SL,
17099220,Interest capitalised - SL,
17099300,Repaid - Student Loans,
17099310,Capital repaid - SL,
17099320,Capitalised Interest repaid - SL,
17099400,Revaluations - Student Loans,
17099500,Write offs - Student Loans,
17049000,Launch Fund Investments,
17049100,Open Bal - Launch Fund Investments,
17049200,Additions - Launch Fund Investments,
17049300,Repayments - Launch Fund Investments,
17049400,Revaluations - Launch Fund Investments,
17049500,Impairments - Launch Fund Investments,
17049600,Amortisation - Launch Investments,
17080000,Other Deposits,
17081000,Open Bal - Other Deposits,
17082000,Additions - Other Deposits,
17082500,Impairment - Other Deposits (outside WGA boundary),x
17083000,Disposals - Other Deposits,
17084000,Revaluations - Other Deposits,
17000400,Non-current Financial Assets - Investments in the Public Sector,
17020000,Shares and other equity type stakes in Public Corp (PC),
17021000,Open Bal - PC,
17022000,Additions - PC,
17024000,Impairment Reversal - PC,
17026000,Disposals - PC,
17027000,Revaluations - PC,
17040000,Public Dividend Capital (PDC),
17041000,Open Bal - PDC,
17042000,Additions - PDC,
17046000,Repayments - PDC,
17047000,Revaluations - PDC,
17047500,Reclassification - PDC,x
17048000,Write off - PDC,
17093500,Loans within central government,
17093520,Opening balance - Central Government,
17093530,Additions - Central Government,
17093540,Repaid - Central Government,
17093550,Revaluations - Central Government,
17093560,Write offs - Central Government,
17030000,Equity and other equity type instruments,
17031000,Open Bal - Other Equity,
17032000,Additions - Other Equity,
17034000,Impairment Reversal - Other Equity,
17036000,Disposals - Other Equity,
17037000,Revaluations - Other Equity,
17050000,International Monetary Fund (IMF) - Special Drawing Rights (SDR's),
17051000,Open Bal - Special Drawing Rights (SDR's),
17052000,Additions - Special Drawing Rights (SDR's),
17053000,Impairment Reversal - Special Drawing Rights (SDR's),
17056000,Disposals - Special Drawing Rights (SDR's),
17057000,Revaluations - Special Drawing Rights (SDR's),
17060000,Monetary Gold (MG),
17061000,Open Bal - Monetary Gold,
17062000,Additions - Monetary Gold,
17063000,Impairment Reversal - Monetary Gold,
17065000,Disposals - Monetary Gold,
17066000,Revaluations - Monetary Gold,
17070000,Investment Properties,
17071000,Open Bal - Investment Properties,
17072000,Additions - Investment Properties,
17073000,Sales - Investment Properties,
17074000,Revaluations - Investment Properties,
17075000,Write off - Investment Properties,
17076000,Impairment losses - Investment Properties,x
17078000,Reclassifications - Investment Properties,x
17079000,Other movements - Investment Properties,x
18000000,CURRENT ASSETS,
18100000,INVENTORIES AND WORK IN INTERMEDIATE STAGES OF COMPLETION,
18110000,For Resale & Finished inventories,
18111000,Goods for resale and finished inventories,
18111100,Opening bal - Goods for resale & Finished Goods,
18111200,Additions - Goods for resale & Finished Goods,
18111300,Disposals - Goods for resale & Finished Goods,
18111400,Write off - Goods for resale & Finished Goods,
18111500,Reclassification & revaluation - Goods for resale & Finished Goods,
18111600,Reclassification - Goods for resale & Finished Goods,
18112000,Land,
18112100,Opening bal - Land for Resale or finished,
18112200,Additions - Land for Resale or finished,
18112300,Disposals - Land for Resale or finished,
18112400,Write off - Land for Resale or finished,
18112500,Reclassification & revaluation - Land for Resale or finished,
18112600,Reclassification - Land for Resale or finished,
18113000,Buildings,
18113100,Opening bal - Buildings for Resale or Finished,
18113200,Additions - Buildings for Resale or Finished,
18113300,Disposals - Buildings for Resale or Finished,
18113400,Write off - Buildings for Resale or Finished,
18113500,Reclassification & revaluation - Buildings for Resale or Finished,
18113600,Reclassification - Buildings for Resale or Finished,
18120000,Raw Materials & Consumables,
18121000,Opening bal - Raw Materials & Consumables,
18122000,Additions - Raw Materials & Consumables,
18123000,Disposals - Raw Materials & Consumables,
18124000,Write off - Raw Materials & Consumables,
18125000,Reclassification & revaluation - Raw Materials & Consumables,
18126000,Reclassification - Raw Materials & Consumables,
18130000,work in intermediate stages of completion (WISC),
18131000,Land (WISC),
18131100,Opening bal - Land (WISC),
18131200,Additions - Land (WISC),
18131300,Disposals - Land (WISC),
18131400,Write off - Land (WISC),
18131500,Reclassification & revaluation - Land (WISC),
18131600,Reclassification - Land (WIP),
18132000,Buildings - (WISC),
18132100,Opening bal - Buildings (WISC),
18132200,Additions - Buildings (WISC),
18132300,Disposals - Buildings (WISC),
18132400,Write off - Buildings (WISC),
18132500,Reclassification & revaluation - Buildings (WISC),
18132600,Reclassification - Buildings (WIP),
18133000,Other work in intermediate stages of completion (WISC),
18133100,Opening bal - Other (WISC),
18133200,Additions - Other (WISC),
18133300,Disposals - Other (WISC),
18133400,Write off  - Other (WISC),
18133500,Reclassification & revaluation - Other (WISC),
18133600,Reclassification - Other (WIP),
18200000,receivables - amounts falling due after one year (LT),
18210000,Trade receivables (LT),
18230000,Other receivables (LT),
18235000,Occupational pension receivables (LT),
18220000,Deposits & advances (LT),
18260000,Government Grants Receivable (LT),
18270000,Interest Receivable (LT),
18280000,Taxation & duties due (LT),
18290001,Provision for irrecoverable debts (LT),x
18291000,Allowance for irrecoverable debts (LT) - Opening balance ,x
18292000,Allowance for irrecoverable debts (LT) - Increase in provision during the year,x
18293000,Allowance for irrecoverable debts (LT) - Provision utilised (trade and other receivables written off),x
18294000,Allowance for irrecoverable debts (LT) - Provision written back during the year (no longer required),x
18295000,Allowance for irrecoverable debts (LT) - Bad debts recovered during the year,x
18241000,Prepayments and accrued income (LT)- PFI & other Barter,
18240000,Prepayments and accrued income (LT)- PFI & other Barter (Not in Budgets),
18251000,Prepayments and accrued income (LT)- Other,
18250000,Prepayments and accrued income (LT)- Other (Not in Budgets),
18300000,receivables - amounts falling due within one year (ST),
18310000,Trade receivables (ST),
18315000,Other receivables (ST),
18315100,Council Tax debtor b/w preceptor & billing authority (ST) ,x
18320000,Taxation & duties due (ST),
18330000,Deposits & advances (ST),
18345000,Occupational pension receivables (ST),
18350000,Prepayments,
18358000,Prepayments and accrued income (ST) - Taxation,
18354100,Prepayments and accrued income (ST) - PFI & other Barter,
18354000,Prepayments and accrued income (ST) - PFI & other Barter (Not in Budgets),
18356100,Prepayments and accrued income (ST) - Other,
18356000,Prepayments and accrued income (ST) - Other (Not in Budgets),
18356200,Large Prepayments (ST) - Other (in Budgets),
18356220,Large Prepayments (ST) - Other (in Budgets) - Additions,
18370000,Amounts owed by joint ventures and Assoc. (ST),
18380000,VAT Dr (ST),
18385000,Supply receivable receivable from the Consolidated Fund (ST),
18390000,Government Grants Receivable (ST),
18395000,Interest Receivable (ST),
18396000,Accrued income relating to EU Funding (ST),
18398000,Allowance for bad and doubtful debts (ST),x
18398100,Allowance for irrecoverable debts (ST) - Opening balance ,x
18398200,Allowance for irrecoverable debts (ST) - Increase in provision during the year,x
18398300,Allowance for irrecoverable debts (ST) - Provision utilised (trade and other receivables written off),x
18398400,Allowance for irrecoverable debts (ST) - Provision written back during the year (no longer required),x
18398500,Allowance for irrecoverable debts (ST) - Bad debts recovered during the year,x
18399000,Student loans due (ST),
18400000,Current Asset Investments,
18420000,Liquid deposits,
18430000,Funds held with National Lottery Distribution Fund,
18500000,Bank and Cash,
18510000,Commercial bank accounts,
18520000,Other Bank Accounts & Cash,
18530000,Cash balances held with the OPG,
18540000,Other cash held in pooled funds,x
19999999,Suspense Asset,
20000000,LIABILITIES,
21000000,payables - falling due within one year (ST),
21040000,Trade payables (ST),
21010000,Other payables (ST),
21011000,Council Tax creditor b/w preceptor & billing authority (ST),x
21020000,Amounts owed to Joint Ventures and Associates (ST),
21030000,Accrued expenses (ST),
21050000,Taxation payables,
21051000,Refunds of taxation payable (ST),
21052000,VAT Cr (ST),
21053000,Other taxation and social security payable - HMRC (ST),
21055000,Other taxation & social security payable - National Insurance Fund (ST),
21060000,Bank overdraft (ST),
21080000,Other borrowings (ST),
21090000,Consolidated Fund payables (ST),
21091000,Consolidated Fund Extra Receipts (ST),
21091100,Operating income not classified as A in A (ST),
21091200,Non operating income not classified as A in A (ST),
21091300,Other amounts collectable on behalf of the Consolidated Fund (ST),
21091400,Excess cash receipts to be surrendered to the Consolidated Fund (ST),
21091001,Operating income not classified as A-in-A or in excess of A-in-A,
21091110,Opening balance - operating income not classified as A-in-A or exceeding A-in-A,
21091120,Operating income not classed as A-in-A collected in year or exceeds AinA,
21091130,Paymt to CF - current year operating income not classed as AinA or exceeds AinA,
21091140,Paymt to CF - prior year operating income not classed as AinA or exceeds AinA,
21091201,Non-operating income not classified as A-in-A or in excess of A-in-A,
21091210,Opening balance - non-operating income not classed as A-in-A or exceeds A-in-A,
21091220,Non-op income not classed as AinA collected during the year or exceeds AinA,
21091230,Payments to the CF - current year non-operating income not classified as A-in-A,
21091240,Payments to the CF - prior year non-operating income not classified as A-in-A,
21091301,Other amounts collected on behalf of CF,
21091310,Opening balance - other amounts collected on behalf of CF,
21091320,Other amounts collected on behalf of CF during the year,
21091330,Payments to CR - current year amounts collected on behalf of CF,
21091340,Payments to CR - prior year amounts collected on behalf of CF,
21091401,Excess receipts to be surrendered to the CF,
21091410,Opening balance,
21091420,Excess receipts for the year,
21091430,Payments to the Consolidated Fund - current years excess cash receipts,
21091440,Payments to the Consolidated Fund - prior years excess cash receipts,
21092000,Other items payable to the consolidated fund,
21092100,Supply payable payable to Consolidation Fund (ST),
21092200,Operating income - excess A in A (ST),
21092300,Non - operating income - excess A in A (ST),
21092400,Other balances surrenderable to the Consolidated Fund (ST),
21100000,Contingencies fund advances (ST),
21110000,Finance Leases (ST)-excluding PFI,
21120000,Finance Leases (ST)-PFI,
21130000,Government Grants payable (ST),
21140000,Interest Payable (ST),
21141000,Interest payable (within WGA) - LG use,x
21142000,Interest payable (outside WGA boundary) - LG use,x
21150000,Interest Payable on National Debt (ST),
21160000,Occupational Pension loans payable (ST),
21170000,National Debt payable (ST),
21080100,Government Grants Unapplied,
21080101,Government grants unapplied - balance b/f,
21080102,Government grants unapplied - PFI,
21080103,Government grants unapplied - General GLA,
21080104,Government grants unapplied - Supporting people,
21080105,Government grants unapplied - Transport GLA,
21080106,Government grants unapplied - Schools Standard Grant,
21080107,Government grants unapplied - Dedicated Schools Grant,
21080108,Government grants unapplied - Other,
21080109,Government grants unapplied - Released to the I & E,
21001000,Current financial liabilities,x
21001100,Current financial liabilities (with bodies outside WGA boundary),x
21001110,Financial guarantee contracts - bodies outside WGA boundary (current) ,x
21001120,Derivatives - bodies outside WGA boundary (current) ,x
21001130,Other financial liabilities - bodies outside WGA boundary (current) ,x
21001200,Current financial liabilities (with bodies within WGA boundary),x
21001210,Financial guarantee contracts - bodies within WGA boundary (current) ,x
21001220,Derivatives - bodies outside WGA boundary (current) ,x
21001230,Other financial liabilities - bodies outside WGA boundary (current) ,x
21001300,Current financial liabilities (Local Govt use),x
21001310,Financial guarantee contracts (current) - LG use,x
21001320,Derivatives (current) - LG use,x
24000000,payables - falling due after one year (LT),
24005000,Trade payables (LT),
24010000,Other payables (LT),
24020000,Refunds of taxation payable (LT),
24025000,Accrued expenses (LT),
24030000,Bank & other borrowings (LT),
24040000,Finance Leases (LT)-excluding PFI,
24050000,Finance Leases (LT)- PFI,
24060000,Government Grants payable (LT),
24070000,Interest Payable (LT),
24080000,Interest payable on National Debt (LT),
24090000,Occupational Pension loans payable (LT),
24095000,National Debt payable (LT),
24086000,Non-current financial liabilities,x
24086100,Non-current financial liabilities (with bodies outside WGA boundary),x
24086110,Financial guarantee contracts - bodies outside WGA boundary (N-C) ,x
24086111, Financial guarantees (bodies outside WGA boundary) (N-C) - B/F balance as at 1 April ,x
24086112, Financial guarantees (bodies outside WGA boundary) (N-C) - Additions ,x
24086113, Financial guarantees (bodies outside WGA boundary) (N-C) - Repayments ,x
24086114, Financial guarantees (bodies outside WGA boundary) (N-C) - Impairment  ,x
24086115, Financial guarantees (bodies outside WGA boundary) (N-C) - Disposals ,x
24086116, Financial guarantees (bodies outside WGA boundary) (N-C) - Revaluations ,x
24086117, Financial guarantees (bodies outside WGA boundary) (N-C) - Reclassification ,x
24086118, Financial guarantees (bodies outside WGA boundary) (N-C) - Amortisation ,x
24086120,Derivatives - bodies outside WGA boundary (N-C) ,x
24086121, Derivatives (bodies outside WGA boundary) (N-C) - B/F balance as at 1 April ,x
24086122, Derivatives (bodies outside WGA boundary) (N-C) - Additions ,x
24086123, Derivatives (bodies outside WGA boundary) (N-C) - Repayments ,x
24086124, Derivatives (bodies outside WGA boundary) (N-C) - Impairment  ,x
24086125, Derivatives (bodies outside WGA boundary) (N-C) - Disposals ,x
24086126, Derivatives (bodies outside WGA boundary) (N-C) - Revaluations ,x
24086127, Derivatives (bodies outside WGA boundary) (N-C) - Reclassification ,x
24086128, Derivatives (bodies outside WGA boundary) (N-C) - Amortisation ,x
24086130,Other financial liabilities - bodies outside WGA boundary (N-C) (N-C) ,x
24086131, Other financial liabilities (bodies outside WGA boundary) (N-C) - B/F balance as at 1 April ,x
24086132, Other financial liabilities (bodies outside WGA boundary) (N-C) - Additions ,x
24086133, Other financial liabilities (bodies outside WGA boundary) (N-C) - Repayments ,x
24086134, Other financial liabilities (bodies outside WGA boundary) (N-C) - Impairment  ,x
24086135, Other financial liabilities (bodies outside WGA boundary) (N-C) - Disposals ,x
24086136, Other financial liabilities (bodies outside WGA boundary) (N-C) - Revaluations ,x
24086137, Other financial liabilities (bodies outside WGA boundary) (N-C) - Reclassification ,x
24086138, Other financial liabilities (bodies outside WGA boundary) (N-C) - Amortisation ,x
24086200,Non-current financial liabilities (with bodies within WGA boundary) (N-C),x
24086210,Financial guarantee contracts - bodies within WGA boundary (N-C),x
24086211, Financial guarantees (bodies within WGA boundary) (N-C) - B/F balance as at 1 April ,x
24086212, Financial guarantees (bodies within WGA boundary) (N-C) - Additions ,x
24086213, Financial guarantees (bodies within WGA boundary) (N-C) - Repayments ,x
24086214, Financial guarantees (bodies within WGA boundary) (N-C) - Impairment  ,x
24086215, Financial guarantees (bodies within WGA boundary) (N-C) - Disposals ,x
24086216, Financial guarantees (bodies within WGA boundary) (N-C) - Revaluations ,x
24086217, Financial guarantees (bodies within WGA boundary) (N-C) - Reclassification ,x
24086218, Financial guarantees (bodies within WGA boundary) (N-C) - Amortisation ,x
24086220,Derivatives - bodies within WGA boundary (N-C) ,x
24086221, Derivatives (bodies within WGA boundary) (N-C) - B/F balance as at 1 April ,x
24086222, Derivatives (bodies within WGA boundary) (N-C) - Additions ,x
24086223, Derivatives (bodies within WGA boundary) (N-C) - Repayments ,x
24086224, Derivatives (bodies within WGA boundary) (N-C) - Impairment  ,x
24086225, Derivatives (bodies within WGA boundary) (N-C) - Disposals ,x
24086226, Derivatives (bodies within WGA boundary) (N-C) - Revaluations ,x
24086227, Derivatives (bodies within WGA boundary) (N-C) - Reclassification ,x
24086228, Derivatives (bodies within WGA boundary) (N-C) - Amortisation ,x
24086230,Other financial liabilities - bodies within WGA boundary (N-C) (N-C) ,x
24086231, Other financial liabilities (bodies within WGA boundary) (N-C) - B/F balance as at 1 April ,x
24086232, Other financial liabilities (bodies within WGA boundary) (N-C) - Additions ,x
24086233, Other financial liabilities (bodies within WGA boundary) (N-C) - Repayments ,x
24086234, Other financial liabilities (bodies within WGA boundary) (N-C) - Impairment  ,x
24086235, Other financial liabilities (bodies within WGA boundary) (N-C) - Disposals ,x
24086236, Other financial liabilities (bodies within WGA boundary) (N-C) - Revaluations ,x
24086237, Other financial liabilities (bodies within WGA boundary) (N-C) - Reclassification ,x
24086238, Other financial liabilities (bodies within WGA boundary) (N-C) - Amortisation ,x
24086300,Non-current financial liabilities (Local Govt use) (N-C),x
24086310,Financial guarantee contracts - Local Govt use (N-C),x
24086311, Financial guarantees (LG use) (N-C) - B/F balance as at 1 April ,x
24086312, Financial guarantees (LG use) (N-C) - Additions ,x
24086313, Financial guarantees (LG use) (N-C) - Repayments ,x
24086314, Financial guarantees (LG use) (N-C) - Impairment  ,x
24086315, Financial guarantees (LG use) (N-C) - Disposals ,x
24086316, Financial guarantees (LG use) (N-C) - Revaluations ,x
24086317, Financial guarantees (LG use) (N-C) - Reclassification ,x
24086318, Financial guarantees (LG use) (N-C) - Amortisation ,x
24086320,Derivatives - Local Govt use (N-C),x
24086321, Derivatives (LG use) (N-C) - B/F balance as at 1 April ,x
24086322, Derivatives (LG use) (N-C) - Additions ,x
24086323, Derivatives (LG use) (N-C) - Repayments ,x
24086324, Derivatives (LG use) (N-C) - Impairment  ,x
24086325, Derivatives (LG use) (N-C) - Disposals ,x
24086326, Derivatives (LG use) (N-C) - Revaluations ,x
24086327, Derivatives (LG use) (N-C) - Reclassification ,x
24086328, Derivatives (LG use) (N-C) - Amortisation ,x
25000000,Provision for liabilities and charges,
25100000,Early Departure Provision (Early Dep) (inc pay and procurement),
25110000,Open balance BF - Early Dep Prov (inc pay and procurement),
25120000,Increase - Early Dep Prov (inc pay and procurement),
25130000,Utilisation - Early Dep Prov (inc pay and procurement),
25140000,Reversal - Early Dep Prov (inc pay and procurement),
25150000,Unwinding of Discount - Early Dep Prov (inc pay and procurement),
25150100,Transfers in year - Early Dep Prov ,x
25151000,Untaken Staff Leave,x
25151100,Open balance BF - Untaken staff leave - Prov,x
25151200,Increase - Untaken staff leave - Prov,x
25151300,Utilisation - Untaken staff leave - Prov,x
25151400,Reversal - Untaken staff leave - Prov,x
25151500,Unwinding of Discount - Untaken staff leave - Prov,x
25151600,Transfers in year - Untaken staff leave - Prov,x
25200000,Environmental Damage - Provision,
25210000,Open balance BF - Environmental - Prov,
25220000,Increase - Environmental - Prov,
25230000,Utilisation - Environmental - Prov,
25240000,Reversal - Environmental - Prov,
25250000,Unwinding of Discount - Environmental - Prov,
25251000,Transfers in year - Environmental -  Prov ,x
25300000,Nuclear decommissioning Provision (ND),
25310000,Open balance BF - ND Prov,
25320000,Increase - ND Prov,
25330000,Utilisation - ND Prov,
25340000,Reversal - ND Prov,
25350000,Unwinding of Discount - ND Prov,
25360000,Capitalised - ND Prov,
25361000,Transfers in year - ND Prov,x
25400000,Clinical Negligence - Provision (CN),
25410000,Open balance BF - CN Prov,
25420000,Increase - CN Prov,
25430000,Utilisation - CN Prov,
25450000,Reversal - CN Prov,
25460000,Unwinding of Discount - CN Prov,
25461000,Transfers in year - CN Prov,
25500000,Deferred Corporation Tax Provision (DT),
25510000,Open balance BF - DT Prov,
25520000,Increase - DT Prov,
25530000,Utilisation - DT Prov,
25540000,Reversal - DT Prov,
25541000,Transfers in year - DT Prov,
25900000,Student Loans Provision - (SL),
25920000,Student Loans Write off provision - (SLW),
25921000,Open balance BF - SLW Prov,
25922000,Increase - SLW Prov,
25923000,Utilisation - SLW Prov,
25924000,Reversal - SLW Prov,
25925000,Unwinding of Discount - SLW Prov,
25930000,Student Loans Interest Subsidy provisions - (SLIS),
25931000,Open balance BF - SLIS Prov,
25932000,Increase - SLIS Prov,
25933000,Utilisation - SLIS Prov,
25934000,Reversal - SLIS Prov,
25935000,Unwinding of Discount - SLIS Prov,
25933100,Utilisation - SLIS Prov (MOD only ex AFPS) (MOD only ex AFPS),
25940000,Student Loans Debt Sale Subsidy provision - (SLDSS),
25941000,Open balance BF - SLDSS Prov,
25942000,Increase - SLDSS Prov,
25943000,Utilisation - SLDSS Prov,
25944000,Reversal - SLDSS Prov,
25945000,Unwinding of Discount - SLDSS Prov,
25700000,Coal Health Provisions - (CH),
25701000,Open balance BF - CH Prov,
25702000,Increase - CH Prov,
25703000,Utilisation - CH Prov,
25705000,Reversal - CH Prov,
25706000,Unwinding of Discount - CH Prov,
25706100,Transfers in year - CH Prov,x
25750000,Unbilled Legal Fees provision - (UBL),
25751000,Open balance BF - UBL Prov,
25752000,Increase - UBL Prov,
25753000,Utilisation - UBL Prov,
25755000,Reversal - UBL Prov,
25756000,Unwinding of Discount - UBL Prov,
25756100,Transfers in year - UBL Prov,x
25800000,Provision for bad debts on Loans - (BDoL),
25802000,Open balance BF - BDL Prov,
25803000,Increase - BDL Prov,
25804000,Utilisation - BDL Prov,
25806000,Reversal - BDL Prov,
25807000,Unwinding of Discount - BDL Prov,
25807100,Transfers in year - BDL Prov,x
25850000,Provision for Legal Claims - (fLC),
25852000,Open balance BF - LC Prov,
25853000,Increase - LC Prov,
25854000,Utilisation - LC Prov,
25856000,Reversal - LC Prov,
25857000,Unwinding of Discount - LC Prov,
25857100,Transfers in year - LC Prov,
25600000,Other Provisions,
25610000,Open balance BF - Other Prov.,
25620000,Increase - Other Prov.,
25630000,Utilisation - Other Prov.,
25640000,Reversal - Other Prov.,
25650000,Unwinding of Discount - Other Prov.,
25651000,Transfers in year - Other Prov.,x
25950000,Emissions liability - provision,
25951000,Emissions liability - opening balance provision,
25952000,Emissions liability - increase in provision,
25955000,Emissions liability - settlement of liability,
25955100,Emissions liability - Transfers in year,x
25710000,Provisions iro capital grants,
25711000,Open balance BF - iro capital grants.,
25712000,Increase - iro capital grants.,
25713000,Utilisation - iro capital grants.,
25715000,Reversal - iro capital grants.,
25716000,Unwinding of Discount - iro capital grants.,
25960000,Biodegradable Municipal Waste Landfill Usage Provision,
25961000,BMW Landfill Usage Provision Opening Balance,
25962000,BMW Landfill Usage Provision Increase,
25963000,BMW Landfill Usage Provision Utilisation/Settlement,
26000000,Pensions,
26100000,Funded schemes,
26110000,Open balance BF - Net Asset or Liability of Funded schemes,
26120000,Current Service Costs - Funded Schemes,
26130000,Enhancements - Past Service Costs,
26140000,Past Service Costs - Funded Schemes,
26150000,Transfers Out - Funded Schemes,
26151000,Transfers out - group transfers to other schemes - Fund,
26152000,Transfers out - individual to other schemes & refunds members leaving - Funded,
26151100,Transfers out - group transfers to other schemes - Fund (MOD only ex AFPS),
26152100,Transfers out-individu to oth schemes&refunds members leaving-Funded(MOD exAFPS),
26160000,Interest Costs - Funded Schemes,
26170000,Actuarial Gains and Losses - Funded Schemes,
26175000,Change in Discount Rate - Funded Pension Schemes,
26180000,Expected Return on Assets - Funded Schemes,
26185000,Adjustments for Contribution Income - Funded Schemes,
26185100,Contributions by scheme participants - Funded Schemes,x
26185200,Contributions by employer - Funded Schemes,x
26190000,Payment of Pensions - Funded Schemes - UK,
26195000,Payment of Pensions - Funded Schemes - LES,
26199000,Gains/Losses on Settlements and Curtailments - Funded Schemes,
26111000,Difference between expected and actual return on assets - Funded Schemes,
26112000,Experience gains & losses on scheme liabilities - Funded Schemes,
26113000,Changes in Actuarial assumptions - Funded Schemes,
26114000,Impact of limitation on balance sheet asset - Funded Schemes,
26191000,Payment of Pensions - Funded Schemes - UK (MOD only ex AFPS),
26195100,Payment of Pensions - Funded Schemes - LES (MOD only ex AFPS),
26200000,Unfunded schemes,
26210000,Open balance BF - Net Asset or Liability of Unfunded schemes,
26220000,Current Service Costs - Unfunded Schemes,
26230000,Transfers In - Unfunded Schemes,
26240000,Past Service Costs - Unfunded Schemes,
26250000,Transfers Out - Unfunded Schemes,
26251000,Transfers out - group tranfers to other schemes - Unfunded,
26252000,Transfers out - individual to other schemes & refunds members leaving - unfund,
26251100,Transfers out - group tranfers to other schemes - Unfunded (MOD only ex AFPS),
26252100,Transfers out-individ to oth schemes&refunds members leaving-unfund (MOD exAFPS),
26260000,Interest on Pension Scheme Liabilities - Unfunded Schemes,
26265000,Adjustments for Contribution Income - Unfunded Schemes,
26265100,Contributions by scheme participants - Unfunded Schemes,x
